Week number,Location (county),Number of findings,Species involved,Total number of birds testing positive
Week 1 (2020),,0,No positive birds reported,0
Week 2 (2020),,0,No positive birds reported,0
Week 3 (2020),,0,No positive birds reported,0
Week 4 (2020),,0,No positive birds reported,0
Week 5 (2020),,0,No positive birds reported,0
Week 6 (2020),,0,No positive birds reported,0
Week 7 (2020),,0,No positive birds reported,0
Week 8 (2020),,0,No positive birds reported,0
Week 9 (2020),,0,No positive birds reported,0
Week 10 (2020),,0,No positive birds reported,0
Week 11 (2020),,0,No positive birds reported,0
Week 12 (2020),,0,No positive birds reported,0
Week 13 (2020),,0,No positive birds reported,0
Week 14 (2020),,0,No positive birds reported,0
Week 15 (2020),,0,No positive birds reported,0
Week 16 (2020),,0,No positive birds reported,0
Week 17 (2020) ,,0,No positive birds reported,0
Week 18 (2020) ,,0,No positive birds reported,0
Week 19 (2020),,0,No positive birds reported,0
Week 20 (2020) ,,0,No positive birds reported,0
Week 21 (2020),,0,No positive birds reported,0
Week 22 (2020) ,,0,No positive birds reported,0
Week 23 (2020),,0,No positive birds reported,0
Week 24 (2020),,0,No positive birds reported,0
Week 25 (2020),,0,No positive birds reported,0
Week 26 (2020),,0,No positive birds reported,0
Week 27 (2020),,0,No positive birds reported,0
Week 28 (2020),,0,No positive birds reported,0
Week 29 (2020),,0,No positive birds reported,0
Week 30 (2020),,0,No positive birds reported,0
Week 31 (2020),,0,No positive birds reported,0
Week 32 (2020),,0,No positive birds reported,0
Week 33 (2020),,0,No positive birds reported,0
Week 34 (2020),,0,No positive birds reported,0
Week 35 (2020),,0,No positive birds reported,0
Week 36 (2020),,0,No positive birds reported,0
Week 37 (2020),,0,No positive birds reported,0
Week 38 (2020),,0,No positive birds reported,0
Week 39 (2020),,0,No positive birds reported,0
Week 40 (2020),,0,No positive birds reported,0
Week 41 (2020),,0,No positive birds reported,0
Week 42 (2020),,0,No positive birds reported,0
Week 43 (2020),,0,No positive birds reported,0
Week 44 (2020),,0,No positive birds reported,0
Week 45 (2020),Gloucestershire,1,Greylag Goose; Canada Goose ,2
Week 46 (2020),Gloucestershire,1,greylag Goose,1
Week 46 (2020),Devon,1,Black Swan,5
Week 46 (2020),Lincolnshire,1,"Shelduck,wigeon, Brent goose, Canda goose, Greylag goose",8
Week 46 (2020),Lancashire,1,Buzzard,1
Week 46 (2020),Lancashire,1,Pink footed goose,1
Week 46 (2020),Gloucestershire,1,Canada goose,6
Week 46 (2020),Dorset,1,Canada goose,1
Week 47 (2020),Essex,1,Mute swan,1
Week 47 (2020),Cambridgeshire,1,Lesser black backed gull (juvenile),1
Week 47 (2020),Dorset,1,"mute swans, Canada goose",6
Week 47 (2020),Dorset,1,mute swan,1
Week 47 (2020),Devon ,1,Black swans,2
Week 47 (2020),Dorset,1,mute swans,3
Week 47 (2020),Gloucestershire,2,"greylag goose, Canada goose",2
Week 48 (2020),Cambridgeshire,1,mute swan,1
Week 48 (2020),Cambridgeshire,1,mute swan,1
Week 48 (2020),Dorset,1,"mute swans, herring gulls, unspecified bird",26
Week 48 (2020),Devon,1,black swan,1
Week 48 (2020),Cornwall,1,Buzzard,1
Week 48 (2020),Devon,1,Sparrowhawk,1
Week 48 (2020),Devon,1,mute swan,1
Week 48 (2020),Dorset,1,mute swan,1
Week 48 (2020),Gloucestershire,1,black swan,1
Week 48 (2020),Warwarckshire,1,kestrel,1
Week 48 (2020),Suffolk,1,mute swan,1
Week 48 (2020),Kent,1,Peregrine Falcon,1
Week 48 (2020),Staffordshire,1,mute swan,1
Week 48 (2020),Dorset,1,mute swan,1
Week 48 (2020),Dorset,2,"mute swans, Canada goose",32
Week 48 (2020),Gloucestershire,1,mute swans,3
Week 48 (2020),Gloucestershire,1,Canada goose,1
Week 48 (2020),Oxfordshire,1,Canada goose,1
Week 48 (2020),Surrey,1,Greylag goose,1
