,Week number,Location ,Number of findings,Species involved,Total number of birds testing positive,Subtype,Year,week,date,season
229,Week 9 (2023),Falkirk,1,Pink Footed Goose (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
230,Week 9 (2023),Fife,1,Common Buzzard (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
231,Week 9 (2023),Hinckley and Bosworth,1,Common Buzzard (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
232,Week 9 (2023),Mid Suffolk,1,Sparrowhawk (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
233,Week 9 (2023),North Lincolnshire,1,Common Buzzard (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
234,Week 9 (2023),Northumberland,1,Common Buzzard (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
235,Week 9 (2023),Northumberland,1,Pink Footed Goose (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
236,Week 9 (2023),Redcar and Cleveland,1,Mute Swan (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
237,Week 9 (2023),Shropshire,1,Common Buzzard (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
238,Week 9 (2023),West Lancashire,1,Pink Footed Goose (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
239,Week 9 (2023),Windsor and Maidenhead,2,Canada Goose (2),2,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
240,Week 9 (2023),Wyre,1,Pink Footed Goose (1),1,H5N1 (HPAI),2023,9,27/02/2023,2022/2023
